location	month	lot_num	artist	born_death	title	estimated_price	sold_price	sold_price_usd	image_url	image_path	description	artist_signature	medium	height_cm	length_cm	year_printed	provenance
New York	14November2017	417	Maximilien Luce	1858-1941	"Une Cuisine
"	USD 700,000 - USD 1,000,000	USD 1002500	1002500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0417_000(maximilien_luce_une_cuisine).jpg	./resources/14November2017/Lot417.jpg	"['<span id=""main_center_0_lblLotDescription"">Maximilien Luce (1858-1941)', '\nUne Cuisine', ""\nsigned 'Luce' (lower right)"", '\noil on canvas', '\n25 5/8 x 21 ¼ in. (65.1 x 54 cm.)', '\nPainted in 1888-1889', '\n</span>']"	signed 'Luce' (lower right)	oil on canvas	65.1	54.0	Painted in 1888-1889	"Jean Sutter, Paris; Estate sale, Sotheby Parke Bernet & Co., London, 8 December 1977, lot 320.
Musée du Petit Palais, Geneva.
Stanford Z. Rothschild, Jr., Baltimore (December 1982).
Gift from the above to the present owner."
New York	14November2017	420	Maurice Denis	1870-1943	"La Pécheresse
"	USD 250,000 - USD 350,000	USD 396500	396500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0420_000(maurice_denis_la_pecheresse).jpg	./resources/14November2017/Lot420.jpg	"['<span id=""main_center_0_lblLotDescription"">Maurice Denis (1870-1943)', '\nLa Pécheresse', ""\nsigned with monogram and dated '94' (lower right)"", '\noil on canvas', '\n21 ¾ x 27 3/8 in. (55.3 x 69.5 cm.)', '\nPainted in 1894', '\n</span>']"	signed with monogram and dated '94' (lower right)	oil on canvas	55.3	69.5	Painted in 1894	"Edmond Deman, Brussels (acquired from the artist, 1895).
Galerie Lorenceau, Paris (until 1967).
E.J. van Wisselingh & Co., Amsterdam (1968).
Acquired from the above by the family of the present owner, 1970."
New York	14November2017	421	After Paul Gauguin	1848-1903	"Cylindre au Christ en croix
"	USD 25,000 - USD 35,000	USD 22500	22500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0421_000(after_paul_gauguin_cylindre_au_christ_en_croix).jpg	./resources/14November2017/Lot421.jpg	"['<span id=""main_center_0_lblLotDescription"">After Paul Gauguin (1848-1903)', '\nCylindre au Christ en croix', ""\nwith raised initials 'PGO' (on the top); stamped with foundry mark 'C. VALSUANI CIRE PERDUE' (on the back)"", '\nbronze with brown patina', '\nHeight: 19 ½ in. (49.6 cm.)', '\nConceived <i>circa </i>1894', '\n</span>']"	with raised initials 'PGO' (on the top); stamped with foundry mark 'C. VALSUANI CIRE PERDUE' (on the back)	bronze with brown patina	49.6	49.6	Conceived <i>circa </i>1894	"Stuart Pivar, New York.
Acquired from the above by the present owner."
New York	14November2017	422	Maurice Denis	1870-1943	"Acis et Galatée
"	USD 15,000 - USD 20,000	USD 18750	18750	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0422_000(maurice_denis_acis_et_galatee).jpg	./resources/14November2017/Lot422.jpg	"['<span id=""main_center_0_lblLotDescription"">Maurice Denis (1870-1943)', '\nAcis et Galatée', ""\nsigned and dated 'MAVRICE DENIS 1927' (lower left); signed again and dedicated 'Au Dr Lesné de l'Académie de Médecine son bien reconnaissant M. Denis' (lower right)"", '\noil on board laid down on board', '\n19 7/8 x 14 ¾ in. (50.5 x 37.5 cm.)', '\nPainted in 1924-1927', '\n</span>']"	signed and dated 'MAVRICE DENIS 1927' (lower left); signed again and dedicated 'Au Dr Lesné de l'Académie de Médecine son bien reconnaissant M. Denis' (lower right)	oil on board laid down on board	50.5	37.5	Painted in 1924-1927	"Dr. Lesné, Paris (gift from the artist).
Pierre Zizine, Paris.
Private collection, South Africa.
Meserve Coale Gallery, Greenwich, Connecticut.
Acquired from the above by the present owner, September 2001."
New York	14November2017	423	Paul Sérusier	1864-1927	"Pèlerinage
"	USD 100,000 - USD 150,000	USD 237500	237500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0423_000(paul_serusier_pelerinage).jpg	./resources/14November2017/Lot423.jpg	"['<span id=""main_center_0_lblLotDescription"">Paul Sérusier (1864-1927)', '\nPèlerinage', ""\nsigned 'P. Ser' (lower right); signed again and titled 'Sérusier Pèlerinage' (on the reverse)"", '\noil on canvas', '\n35 ¾ x 26 ¾ in. (91 x 68 cm.)', '\nPainted in 1894', '\n</span>']"	signed 'P. Ser' (lower right); signed again and titled 'Sérusier Pèlerinage' (on the reverse)	oil on canvas	91.0	68.0	Painted in 1894	"Private collection, Germany.
Galerie Schwarzer, Dusseldorf.
Claude Kéchichian, Paris. 
Olivier Thomas, Paris. 
Acquired by the present owner, 2002."
New York	14November2017	424	Pierre-Auguste Renoir	1841-1919	"La maison de la poste à Cagnes
"	USD 250,000 - USD 350,000	USD 456500	456500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0424_000(pierre-auguste_renoir_la_maison_de_la_poste_a_cagnes).jpg	./resources/14November2017/Lot424.jpg	"['<span id=""main_center_0_lblLotDescription"">Pierre-Auguste Renoir (1841-1919)', '\nLa maison de la poste à Cagnes', ""\nsigned 'Renoir.' (lower left)"", '\noil on canvas', '\n12 5/8 x 18 ¼ in. (32 x 46.3 cm.)', '\nPainted <i>circa </i>1907', '\n</span>']"	signed 'Renoir.' (lower left)	oil on canvas	32.0	46.3	Painted <i>circa </i>1907	"Galerie Durand-Ruel et Cie., Paris (acquired from the artist, August 1908).
Dr. Albert C. Barnes, Merion, Pennsylvania (acquired from the above, March 1914).
Nelle M. Mullen, Merion, Pennsylvania (acquired from the above, circa 1925); Estate sale, Samuel T. Freeman & Co., Philadelphia, 15 November 1967, lot 14.
Jane du Pont Lunger, Greenville, Delaware (acquired at the above sale).
The Delaware Art Museum (gift from the above); sale, Christie's, New York, 5 May 2004, lot 231.
Acquired at the above sale by the present owner."
New York	14November2017	426	Gustave Loiseau	1865-1935	"Le Pont Corneille, Rouen
"	USD 80,000 - USD 120,000	USD 87500	87500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0426_000(gustave_loiseau_le_pont_corneille_rouen).jpg	./resources/14November2017/Lot426.jpg	"['<span id=""main_center_0_lblLotDescription"">Gustave Loiseau (1865-1935)', '\nLe Pont Corneille, Rouen', '\nsigned ‘G Loiseau<i>’ </i>(lower right)', '\noil on canvas', '\n23 ¾ x 28 ¾ in. (60.4 x 73 cm.)', '\nPainted in 1927', '\n</span>']"	signed ‘G Loiseau<i>’ </i>(lower right)	oil on canvas	60.4	73.0	Painted in 1927	"Galerie Durand-Ruel et Cie., Paris.
Galerie Commeter, Hamburg.
Private collection, Germany.
Private collection, Germany (by descent from the above)."
New York	14November2017	427	Armand Guillaumin	1841-1927	"Autoportrait
"	USD 70,000 - USD 100,000	USD 68750	68750	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0427_000(armand_guillaumin_autoportrait).jpg	./resources/14November2017/Lot427.jpg	"['<span id=""main_center_0_lblLotDescription"">Armand Guillaumin (1841-1927)', '\nAutoportrait', ""\nsigned 'Guillaumin' (lower left)"", '\noil on canvas', '\n17 7/8 x 14 ¾ in. (45.3 x 37.4 cm.)', '\nPainted <i>circa </i>1888', '\n</span>']"	signed 'Guillaumin' (lower left)	oil on canvas	45.3	37.4	Painted <i>circa </i>1888	"Maxwell Galleries, San Francisco.
Acquired from the above by the late owners, March 1973."
New York	14November2017	429	Aristide Maillol	1861-1944	"Léda
"	USD 150,000 - USD 200,000	USD 162500	162500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0429_000(aristide_maillol_leda).jpg	./resources/14November2017/Lot429.jpg	"['<span id=""main_center_0_lblLotDescription"">Aristide Maillol (1861-1944)', '\nLéda', ""\nsigned with monogram and inscribed with foundry mark '.Alexis Rudier. .Fondeur. Paris.' (on the back)"", '\nbronze with dark brown patina', '\nHeight: 11 1/8 in. (28.2 cm.)', ""\nConceived in 1900; this bronze version cast during the artist's lifetime"", '\n</span>']"	signed with monogram and inscribed with foundry mark '.Alexis Rudier. .Fondeur. Paris.' (on the back)	bronze with dark brown patina	28.2	28.2	Conceived in 1900; this bronze version cast during the artist's lifetime	"Buchholz Gallery (Curt Valentin), New York.
Private collection, Minneapolis.
Jane Wade, Ltd., New York.
Acquired from the above by the late owners, January 1972."
New York	14November2017	430	Raoul Dufy	1877-1953	"Le bassin de Deauville
"	USD 300,000 - USD 400,000	USD 588500	588500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0430_000(raoul_dufy_le_bassin_de_deauville).jpg	./resources/14November2017/Lot430.jpg	"['<span id=""main_center_0_lblLotDescription"">Raoul Dufy (1877-1953)', '\nLe bassin de Deauville', ""\nsigned and dated 'Raoul Dufy 38' (lower right)"", '\noil on canvas', '\n13 x 32 ½ in. (33 x 82.5 cm.)', '\nPainted in 1938', '\n</span>']"	signed and dated 'Raoul Dufy 38' (lower right)	oil on canvas	33.0	82.5	Painted in 1938	"Mr. and Mrs. Max Miller, New York.
M. Knoedler & Co., Inc, New York (acquired from the above).
Acquired from the above by the late owners, August 1963."
